title,content
공통 - 핵심 역량 목표 수립,
공통 - 핵심 역량 목표 달성률 평가,
공통 - AI 활용 원칙 수립,
공통 - 이번 주 할 일(업무) 검토,
공통 - WIL(What I Learned) 작성,
공통 - 팀 협업 룰/팁 정리 및 합의,
basic - DP - 동적 프로그래밍 - 피보나치,
basic - DP - 동적 프로그래밍 - 계단 오르기,
basic - 그리디 - 그리디 알고리즘 - 동전,
basic - 그리디 - 그리디 알고리즘 - 회의실 배정,
DP - 피보나치 수 2,https://www.acmicpc.net/problem/2748
DP - 01타일,https://www.acmicpc.net/problem/1904
그리디 - 동전 0,https://www.acmicpc.net/problem/11047
그리디 - 잃어버린 괄호,https://www.acmicpc.net/problem/1541
DP - 동전,https://www.acmicpc.net/problem/9084
DP - LCS,https://www.acmicpc.net/problem/9251
DP - 평범한 배낭,https://www.acmicpc.net/problem/12865
DP - 점프,https://www.acmicpc.net/problem/2253
그리디 - 신입 사원,https://www.acmicpc.net/problem/1946
그리디 - 회의실 배정,https://www.acmicpc.net/problem/1931
DP - 외판원 순회,https://www.acmicpc.net/problem/2098
그리디 - 멀티탭 스케줄링,https://www.acmicpc.net/problem/1700
Extra - DP - Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/description/?envType=study-plan-v2&envId=top-interview-150
Extra - DP - Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/description/?envType=study-plan-v2&envId=top-interview-150
Extra - DP - Edit Distance,https://leetcode.com/problems/edit-distance/description/?envType=study-plan-v2&envId=top-interview-150
Extra - DP - Maximal Square,https://leetcode.com/problems/maximal-square/description/?envType=study-plan-v2&envId=top-interview-150
Extra - DP - Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/?envType=study-plan-v2&envId=top-interview-150
